path,is_file,is_dir,suffix,size_bytes,initial_decision,reason
assets/legacy/Laravel/storage,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/.gitignore,True,False,,243,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/bootstrap,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/database,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/config,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/composer.lock,True,False,.lock,328205,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/vite.config.js,True,False,.js,266,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/public,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/artisan,True,False,,1686,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/routes,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/tests,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/pnpm-lock.yaml,True,False,.yaml,38343,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/postcss.config.js,True,False,.js,78,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/View,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Console,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Exceptions,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Models,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Providers,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Actions,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/View/Components,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/View/Components/EmptyLayout.php,True,False,.php,268,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/View/Components/GuestLayout.php,True,False,.php,300,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/View/Components/AuthenticationLayout.php,True,False,.php,286,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/View/Components/AppLayout.php,True,False,.php,296,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Controllers,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Middleware,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Kernel.php,True,False,.php,2778,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Controllers/Controller.php,True,False,.php,299,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Controllers/DashboardController.php,True,False,.php,760,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Controllers/DataFeedController.php,True,False,.php,637,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Middleware/EncryptCookies.php,True,False,.php,307,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Middleware/ValidateSignature.php,True,False,.php,460,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Middleware/TrimStrings.php,True,False,.php,381,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Middleware/PreventRequestsDuringMaintenance.php,True,False,.php,366,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Middleware/TrustProxies.php,True,False,.php,649,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Middleware/Authenticate.php,True,False,.php,409,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Middleware/VerifyCsrfToken.php,True,False,.php,320,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Middleware/RedirectIfAuthenticated.php,True,False,.php,760,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Http/Middleware/TrustHosts.php,True,False,.php,379,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Console/Kernel.php,True,False,.php,573,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Exceptions/Handler.php,True,False,.php,639,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Models/DataFeed.php,True,False,.php,1474,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Models/User.php,True,False,.php,1318,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Providers/AppServiceProvider.php,True,False,.php,361,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Providers/EventServiceProvider.php,True,False,.php,884,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Providers/BroadcastServiceProvider.php,True,False,.php,359,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Providers/AuthServiceProvider.php,True,False,.php,518,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Providers/JetstreamServiceProvider.php,True,False,.php,869,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Providers/FortifyServiceProvider.php,True,False,.php,1405,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Providers/RouteServiceProvider.php,True,False,.php,1106,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Actions/Jetstream,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Actions/Fortify,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Actions/Jetstream/DeleteUser.php,True,False,.php,358,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Actions/Fortify/ResetUserPassword.php,True,False,.php,693,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Actions/Fortify/UpdateUserPassword.php,True,False,.php,924,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Actions/Fortify/PasswordValidationRules.php,True,False,.php,408,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Actions/Fortify/CreateNewUser.php,True,False,.php,1012,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app/Actions/Fortify/UpdateUserProfileInformation.php,True,False,.php,1703,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/lang/en,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/lang/en/passwords.php,True,False,.php,744,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/lang/en/validation.php,True,False,.php,11233,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/lang/en/auth.php,True,False,.php,674,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/lang/en/pagination.php,True,False,.php,530,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/logs,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/app,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/logs/.gitignore,True,False,,14,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/app/.gitignore,True,False,,23,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/app/public,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/app/public/.gitignore,True,False,,14,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/sessions,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/.gitignore,True,False,,119,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/cache,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/testing,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/views,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/sessions/.gitignore,True,False,,14,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/cache/data,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/cache/.gitignore,True,False,,21,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/cache/data/.gitignore,True,False,,14,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/testing/.gitignore,True,False,,14,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/storage/framework/views/.gitignore,True,False,,14,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/bootstrap/cache,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/bootstrap/app.php,True,False,.php,1620,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/bootstrap/cache/.gitignore,True,False,,14,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/css,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/js,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/markdown,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/css/app.css,True,False,.css,3742,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/css/additional-styles,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/css/additional-styles/utility-patterns.css,True,False,.css,3267,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/css/additional-styles/flatpickr.css,True,False,.css,5697,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/js/utils.js,True,False,.js,1958,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/js/components,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/js/bootstrap.js,True,False,.js,1248,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/resources/js/app.js,True,False,.js,5047,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/js/components/dashboard-card-08.js,True,False,.js,8971,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/resources/js/components/dashboard-card-01.js,True,False,.js,4681,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/resources/js/components/dashboard-card-11.js,True,False,.js,7364,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/resources/js/components/dashboard-card-03.js,True,False,.js,4682,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/resources/js/components/dashboard-card-06.js,True,False,.js,5499,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/resources/js/components/dashboard-card-09.js,True,False,.js,5235,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/resources/js/components/dashboard-card-04.js,True,False,.js,8430,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/resources/js/components/dashboard-card-02.js,True,False,.js,4681,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/resources/js/components/dashboard-card-05.js,True,False,.js,7805,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/resources/markdown/policy.md,True,False,.md,84,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/markdown/terms.md,True,False,.md,88,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/terms.blade.php,True,False,.php,468,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/pages,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/profile,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/layouts,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/vendor,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/components,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/policy.blade.php,True,False,.php,469,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/auth,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/api,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/pages/dashboard,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/pages/utility,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/pages/dashboard/dashboard.blade.php,True,False,.php,2759,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/pages/utility/404.blade.php,True,False,.php,911,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/profile/logout-other-browser-sessions-form.blade.php,True,False,.php,5171,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/profile/update-password-form.blade.php,True,False,.php,1630,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/profile/two-factor-authentication-form.blade.php,True,False,.php,5745,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/profile/delete-user-form.blade.php,True,False,.php,2340,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/profile/show.blade.php,True,False,.php,1458,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/resources/views/profile/update-profile-information-form.blade.php,True,False,.php,4393,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
