external_name	module	exposure	current_usage	sensitive	target_name	target_location	migration_action	notes
ARTIFACT_INTERNAL_URL	services/chat-bridge	artifact service internal URL	backend URL	UNKNOWN_REVIEW_REQUIRED	backend config	backend config	map explicitly	Used for artifact access links.
ARTIFACT_INTERNAL_KEY	services/chat-bridge	artifact service auth key	backend auth secret	SERVER_ONLY_SECRET	backend secret store	backend secret store	server secret	Bridge-only.
SUPABASE_URL	services/rag-mcp	Supabase URL	backend URL	UNKNOWN_REVIEW_REQUIRED	backend config	backend config	map explicitly	Loaded via config loader.
SUPABASE_SERVICE_ROLE_KEY	services/rag-mcp	Supabase privileged key	privileged backend credential	SERVER_ONLY_SECRET	backend secret store	backend secret store	server secret	Server-side only.
COMPOSE_PROJECT_NAME	services/hermes-runtime	compose project name	compose metadata	LOCAL_DEV_ONLY	compose env	compose env	keep	Deployment naming only.
HERMES_API_KEY_CORE	services/hermes-runtime	Hermes API key	runtime auth secret	SERVER_ONLY_SECRET	runtime secret store	runtime secret store	server secret	Example file shows placeholder only.
HERMES_KANBAN_AUTH_PASSWORD_HASH	services/hermes-runtime	basic auth hash	hash secret	SERVER_ONLY_SECRET	runtime secret store	runtime secret store	server secret	Keep out of repo when real.
OPENROUTER_API_KEY	services/hermes-runtime	LLM provider key	provider secret	SERVER_ONLY_SECRET	runtime secret store	runtime secret store	server secret	Example placeholder only.
ANTHROPIC_API_KEY	services/hermes-runtime	LLM provider key	provider secret	SERVER_ONLY_SECRET	runtime secret store	runtime secret store	server secret	Example placeholder only.
GOOGLE_API_KEY	services/hermes-runtime	LLM provider key	provider secret	SERVER_ONLY_SECRET	runtime secret store	runtime secret store	server secret	Example placeholder only.
OPENROUTER_API_KEY	services/hermes-runtime/vendor/hermes-agent	LLM provider key	provider secret example	SERVER_ONLY_SECRET	runtime secret store	runtime secret store	server secret	Vendored upstream example only.
GEMINI_API_KEY	services/hermes-runtime/vendor/hermes-agent	LLM provider key	provider secret example	SERVER_ONLY_SECRET	runtime secret store	runtime secret store	server secret	Vendored upstream example only.
OLLAMA_API_KEY	services/hermes-runtime/vendor/hermes-agent	LLM provider key	provider secret example	SERVER_ONLY_SECRET	runtime secret store	runtime secret store	server secret	Vendored upstream example only.
GLM_API_KEY	services/hermes-runtime/vendor/hermes-agent	LLM provider key	provider secret example	SERVER_ONLY_SECRET	runtime secret store	runtime secret store	server secret	Vendored upstream example only.
KIMI_API_KEY	services/hermes-runtime/vendor/hermes-agent	LLM provider key	provider secret example	SERVER_ONLY_SECRET	runtime secret store	runtime secret store	server secret	Vendored upstream example only.
