template_or_option	source_file	purpose	allowed_values	target_mapping	auth_or_role_needed	migration_action	notes
04_banner_interno_mobile/pos	04_banner_interno_mobile/pos/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	04_banner_interno_mobile/pos	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
05_AIDA_whatsapp/imersoes	05_AIDA_whatsapp/imersoes/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=-	05_whatsapp/qualificacoes	DESIGNER_ADMIN_OR_BACKEND	DOCS_ONLY	planner_payloads=no; template_id!=path(05_whatsapp/qualificacoes)
05_AIDA_whatsapp/pos	05_AIDA_whatsapp/pos/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	05_AIDA_whatsapp/pos	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
05_AIDA_whatsapp/qualificacoes	05_AIDA_whatsapp/qualificacoes/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=-	05_whatsapp/qualificacoes	DESIGNER_ADMIN_OR_BACKEND	DOCS_ONLY	planner_payloads=no; template_id!=path(05_whatsapp/qualificacoes)
05_whatsapp/graduacao	05_whatsapp/graduacao/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	05_whatsapp/graduacao	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
05_whatsapp/institucional	05_whatsapp/institucional/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	05_whatsapp/institucional	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
05_whatsapp/pos	05_whatsapp/pos/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	05_whatsapp/pos	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
05_whatsapp/qualificacoes	05_whatsapp/qualificacoes/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=-	05_whatsapp/qualificacoes	DESIGNER_ADMIN_OR_BACKEND	DOCS_ONLY	planner_payloads=no
05_whatsapp/tudo-sobre-seguros	05_whatsapp/tudo-sobre-seguros/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	05_whatsapp/tudo-sobre-seguros	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
08_topo_email/graduacao	08_topo_email/graduacao/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	08_topo_email/graduacao	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
08_topo_email/imersoes	08_topo_email/imersoes/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	08_topo_email/imersoes	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
08_topo_email/institucional	08_topo_email/institucional/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	08_topo_email/institucional	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
08_topo_email/pos	08_topo_email/pos/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	08_topo_email/pos	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
08_topo_email/qualificacoes	08_topo_email/qualificacoes/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=-	08_topo_email/qualificacoes	DESIGNER_ADMIN_OR_BACKEND	DOCS_ONLY	planner_payloads=no
08_topo_email/tudo-sobre-seguros	08_topo_email/tudo-sobre-seguros/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	08_topo_email/tudo-sobre-seguros	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
